step	dice_multi
0	0.4954172537399455
1	0.4954172537399455
2	0.5700724625868312
3	0.6257574105250743
4	0.8752110333121892
5	0.8851330835554985
6	0.8960734963862425
7	0.8913851180254233
8	0.8936461162229195
