step	loss
0	5.6986403465271
1	0.1698838472366333
2	0.13438719511032104
3	0.1051008552312851
4	0.08315899223089218
5	0.0686204805970192
6	0.058171335607767105
7	0.050192322582006454
8	0.044805023819208145
